Frequency_THz,R_air,R_water
1.400000000000000000e+02,8.999999999999931388e-01,8.999999774024762811e-01
1.400400200100050085e+02,8.999679839919887403e-01,8.999679604894649243e-01
1.400800400200100171e+02,8.999359679839842308e-01,8.999359435412926933e-01
1.401200600300149972e+02,8.999039519759798322e-01,8.999039265566382007e-01
1.401600800400200058e+02,8.998719359679753227e-01,8.998719095341318752e-01
1.402001000500250143e+02,8.998399199599708131e-01,8.998398924723548520e-01
1.402401200600300228e+02,8.998079039519663036e-01,8.998078753698368626e-01
1.402801400700350314e+02,8.997758879439616830e-01,8.997758582250547921e-01
1.403201600800400115e+02,8.997438719359571735e-01,8.997438410364304584e-01
1.403601800900450201e+02,8.997118559279524419e-01,8.997118238023287251e-01
1.404002001000500286e+02,8.996798399199478213e-01,8.996798065210562800e-01
1.404402201100550371e+02,8.996478239119430897e-01,8.996477891908584157e-01
1.404802401200600173e+02,8.996158079039383582e-01,8.996157718099180300e-01
1.405202601300650258e+02,8.995837918959335155e-01,8.995837543763525179e-01
1.405602801400700343e+02,8.995517758879287840e-01,8.995517368882127718e-01
1.406003001500750429e+02,8.995197598799239413e-01,8.995197193434792959e-01
1.406403201600800514e+02,8.994877438719188767e-01,8.994877017400610963e-01
1.406803401700850316e+02,8.994557278639139231e-01,8.994556840757930161e-01
1.407203601800900401e+02,8.994237118559088584e-01,8.994236663484322936e-01
1.407603801900950486e+02,8.993916958479037937e-01,8.993916485556574525e-01
1.408004002001000572e+02,8.993596798398985070e-01,8.993596306950639718e-01
1.408404202101050657e+02,8.993276638318933314e-01,8.993276127641629536e-01
1.408804402201100459e+02,8.992956478238881557e-01,8.992955947603772371e-01
1.409204602301150544e+02,8.992636318158826469e-01,8.992635766810387343e-01
1.409604802401200629e+02,8.992316158078772492e-01,8.992315585233855435e-01
1.410005002501250715e+02,8.991995997998716295e-01,8.991995402845585073e-01
1.410405202601300516e+02,8.991675837918661207e-01,8.991675219615984371e-01
1.410805402701350602e+02,8.991355677838602789e-01,8.991355035514417837e-01
1.411205602801400687e+02,8.991035517758545481e-01,8.991034850509181942e-01
1.411605802901450772e+02,8.990715357678487063e-01,8.990714664567461822e-01
1.412006003001500858e+02,8.990395197598426424e-01,8.990394477655299088e-01
1.412406203101550659e+02,8.990075037518365786e-01,8.990074289737550739e-01
1.412806403201600745e+02,8.989754877438301817e-01,8.989754100777850310e-01
1.413206603301650830e+02,8.989434717358238958e-01,8.989433910738567901e-01
1.413606803401700915e+02,8.989114557278172768e-01,8.989113719580764661e-01
1.414007003501751001e+02,8.988794397198107688e-01,8.988793527264158367e-01
1.414407203601800802e+02,8.988474237118039278e-01,8.988473333747066807e-01
1.414807403701850888e+02,8.988154077037969758e-01,8.988153138986367807e-01
1.415207603801900973e+02,8.987833916957899127e-01,8.987832942937457048e-01
1.415607803901951058e+02,8.987513756877825166e-01,8.987512745554186999e-01
1.416008004002000860e+02,8.987193596797751205e-01,8.987192546788825842e-01
1.416408204102050945e+02,8.986873436717673913e-01,8.986872346592000849e-01
1.416808404202101030e+02,8.986553276637595511e-01,8.986552144912649531e-01
1.417208604302151116e+02,8.986233116557514888e-01,8.986231941697954140e-01
1.417608804402201201e+02,8.985912956477432045e-01,8.985911736893293922e-01
1.418009004502251003e+02,8.985592796397346982e-01,8.985591530442186281e-01
1.418409204602301088e+02,8.985272636317257478e-01,8.985271322286217943e-01
1.418809404702351173e+02,8.984952476237167973e-01,8.984951112364989445e-01
1.419209604802401259e+02,8.984632316157074028e-01,8.984630900616046301e-01
1.419609804902451344e+02,8.984312156076977862e-01,8.984310686974819049e-01
1.420010005002501146e+02,8.983991995996878366e-01,8.983990471374545539e-01
1.420410205102551231e+02,8.983671835916775539e-01,8.983670253746202095e-01
1.420810405202601316e+02,8.983351675836669381e-01,8.983350034018442454e-01
1.421210605302651402e+02,8.983031515756558782e-01,8.983029812117502289e-01
1.421610805402701487e+02,8.982711355676445963e-01,8.982709587967141474e-01
1.422011005502751289e+02,8.982391195596327593e-01,8.982389361488549717e-01
1.422411205602801374e+02,8.982071035516205892e-01,8.982069132600274397e-01
1.422811405702851459e+02,8.981750875436079751e-01,8.981748901218128411e-01
1.423211605802901545e+02,8.981430715355948058e-01,8.981428667255106912e-01
1.423611805902951346e+02,8.981110555275813034e-01,8.981108430621300709e-01
1.424012006003001432e+02,8.980790395195670239e-01,8.980788191223791905e-01
1.424412206103051517e+02,8.980470235115524114e-01,8.980467948966573966e-01
1.424812406203101602e+02,8.980150075035370216e-01,8.980147703750440691e-01
1.425212606303151688e+02,8.979829914955211878e-01,8.979827455472894071e-01
1.425612806403201489e+02,8.979509754875047989e-01,8.979507204028032152e-01
1.426013006503251574e+02,8.979189594794875218e-01,8.979186949306448007e-01
1.426413206603301660e+02,8.978869434714695785e-01,8.978866691195116490e-01
1.426813406703351745e+02,8.978549274634508581e-01,8.978546429577280996e-01
1.427213606803401831e+02,8.978229114554313606e-01,8.978226164332335779e-01
1.427613806903451632e+02,8.977908954474111969e-01,8.977905895335704933e-01
1.428014007003501717e+02,8.977588794393899230e-01,8.977585622458720271e-01
1.428414207103551803e+02,8.977268634313677609e-01,8.977265345568490318e-01
1.428814407203601888e+02,8.976948474233445996e-01,8.976945064527772633e-01
1.429214607303651690e+02,8.976628314153205501e-01,8.976624779194833925e-01
1.429614807403701775e+02,8.976308154072952794e-01,8.976304489423311272e-01
1.430015007503751860e+02,8.975987993992690095e-01,8.975984195062075566e-01
1.430415207603801946e+02,8.975667833912414073e-01,8.975663895955070526e-01
1.430815407703852031e+02,8.975347673832125839e-01,8.975343591941175037e-01
1.431215607803901833e+02,8.975027513751825392e-01,8.975023282854035500e-01
1.431615807903951918e+02,8.974707353671508292e-01,8.974702968521907076e-01
1.432016008004002003e+02,8.974387193591178979e-01,8.974382648767497139e-01
1.432416208104052089e+02,8.974067033510833014e-01,8.974062323407779873e-01
1.432816408204102174e+02,8.973746873430471505e-01,8.973741992253834177e-01
1.433216608304151976e+02,8.973426713350092232e-01,8.973421655110653816e-01
1.433616808404202061e+02,8.973106553269694086e-01,8.973101311776966460e-01
1.434017008504252146e+02,8.972786393189279286e-01,8.972780962045041608e-01
1.434417208604302232e+02,8.972466233108842282e-01,8.972460605700494085e-01
1.434817408704352033e+02,8.972146073028385294e-01,8.972140242522083087e-01
1.435217608804402118e+02,8.971825912947904991e-01,8.971819872281501240e-01
1.435617808904452204e+02,8.971505752867402483e-01,8.971499494743165881e-01
1.436018009004502289e+02,8.971185592786875551e-01,8.971179109663992568e-01
1.436418209104552375e+02,8.970865432706323084e-01,8.970858716793175258e-01
1.436818409204602176e+02,8.970545272625742861e-01,8.970538315871950941e-01
1.437218609304652261e+02,8.970225112545133772e-01,8.970217906633358718e-01
1.437618809404702347e+02,8.969904952464495818e-01,8.969897488802001106e-01
1.438019009504752432e+02,8.969584792383824556e-01,8.969577062093782027e-01
1.438419209604802518e+02,8.969264632303122209e-01,8.969256626215655892e-01
1.438819409704852319e+02,8.968944472222384334e-01,8.968936180865353380e-01
1.439219609804902404e+02,8.968624312141609822e-01,8.968615725731109434e-01
1.439619809904952490e+02,8.968304152060796453e-01,8.968295260491387921e-01
1.440020010005002575e+02,8.967983991979942004e-01,8.967974784814578548e-01
1.440420210105052661e+02,8.967663831899046478e-01,8.967654298358712639e-01
1.440820410205102462e+02,8.967343671818104323e-01,8.967333800771143393e-01
1.441220610305152547e+02,8.967023511737116648e-01,8.967013291688247234e-01
1.441620810405202633e+02,8.966703351656077903e-01,8.966692770735082973e-01
1.442021010505252718e+02,8.966383191574989198e-01,8.966372237525074285e-01
1.442421210605302520e+02,8.966063031493844981e-01,8.966051691659662204e-01
1.442821410705352605e+02,8.965742871412643034e-01,8.965731132727949859e-01
1.443221610805402690e+02,8.965422711331381134e-01,8.965410560306352750e-01
1.443621810905452776e+02,8.965102551250054841e-01,8.965089973958220160e-01
1.444022011005502861e+02,8.964782391168663045e-01,8.964769373233462124e-01
1.444422211105552663e+02,8.964462231087201305e-01,8.964448757668148637e-01
1.444822411205602748e+02,8.964142071005664070e-01,8.964128126784118855e-01
1.445222611305652833e+02,8.963821910924051339e-01,8.963807480088566981e-01
1.445622811405702919e+02,8.963501750842355342e-01,8.963486817073615942e-01
1.446023011505753004e+02,8.963181590760576078e-01,8.963166137215885509e-01
1.446423211605802805e+02,8.962861430678705776e-01,8.962845439976045991e-01
1.446823411705852891e+02,8.962541270596742216e-01,8.962524724798363041e-01
1.447223611805902976e+02,8.962221110514678735e-01,8.962203991110219148e-01
1.447623811905953062e+02,8.961900950432512003e-01,8.961883238321645129e-01
1.448024012006002863e+02,8.961580790350236470e-01,8.961562465824811641e-01
1.448424212106052948e+02,8.961260630267845473e-01,8.961241672993524032e-01
1.448824412206103034e+02,8.960940470185334572e-01,8.960920859182707199e-01
1.449224612306153119e+02,8.960620310102695996e-01,8.960600023727861574e-01
1.449624812406203205e+02,8.960300150019926413e-01,8.960279165944516899e-01
1.450025012506253006e+02,8.959979989937016942e-01,8.959958285127668232e-01
1.450425212606303091e+02,8.959659829853960922e-01,8.959637380551193075e-01
1.450825412706353177e+02,8.959339669770751691e-01,8.959316451467265185e-01
1.451225612806403262e+02,8.959019509687379257e-01,8.958995497105735062e-01
1.451625812906453348e+02,8.958699349603839179e-01,8.958674516673511556e-01
1.452026013006503149e+02,8.958379189520120356e-01,8.958353509353915722e-01
1.452426213106553234e+02,8.958059029436216125e-01,8.958032474306026893e-01
1.452826413206603320e+02,8.957738869352114275e-01,8.957711410663999896e-01
1.453226613306653405e+02,8.957418709267808143e-01,8.957390317536381152e-01
1.453626813406703491e+02,8.957098549183285519e-01,8.957069194005391477e-01
1.454027013506753292e+02,8.956778389098537518e-01,8.956748039126199989e-01
1.454427213606803377e+02,8.956458229013551930e-01,8.956426851926172494e-01
1.454827413706853463e+02,8.956138068928315432e-01,8.956105631404112088e-01
1.455227613806903548e+02,8.955817908842818031e-01,8.955784376529466462e-01
1.455627813906953349e+02,8.955497748757046406e-01,8.955463086241524095e-01
1.456028014007003435e+02,8.955177588670986122e-01,8.955141759448587147e-01
1.456428214107053520e+02,8.954857428584623857e-01,8.954820395027126567e-01
1.456828414207103606e+02,8.954537268497944069e-01,8.954498991820908360e-01
1.457228614307153691e+02,8.954217108410932324e-01,8.954177548640107620e-01
1.457628814407203492e+02,8.953896948323570859e-01,8.953856064260390379e-01
1.458029014507253578e+02,8.953576788235844131e-01,8.953534537421984352e-01
1.458429214607303663e+02,8.953256628147733265e-01,8.953212966828713038e-01
1.458829414707353749e+02,8.952936468059220498e-01,8.952891351147016508e-01
1.459229614807403834e+02,8.952616307970284737e-01,8.952569689004939990e-01
1.459629814907453635e+02,8.952296147880907107e-01,8.952247978991110244e-01
1.460030015007503721e+02,8.951975987791064293e-01,8.951926219653664196e-01
1.460430215107553806e+02,8.951655827700734092e-01,8.951604409499174242e-01
1.460830415207603892e+02,8.951335667609895408e-01,8.951282546991536915e-01
1.461230615307653693e+02,8.951015507518520486e-01,8.950960630550829356e-01
1.461630815407703778e+02,8.950695347426583792e-01,8.950638658552149129e-01
1.462031015507753864e+02,8.950375187334059790e-01,8.950316629324417406e-01
1.462431215607803949e+02,8.950055027240917394e-01,8.949994541149154381e-01
1.462831415707854035e+02,8.949734867147129957e-01,8.949672392259229170e-01
1.463231615807903836e+02,8.949414707052664175e-01,8.949350180837573054e-01
1.463631815907953921e+02,8.949094546957488960e-01,8.949027905015870532e-01
1.464032016008004007e+02,8.948774386861567676e-01,8.948705562873203734e-01
1.464432216108054092e+02,8.948454226764868125e-01,8.948383152434685739e-01
1.464832416208104178e+02,8.948134066667350339e-01,8.948060671670040600e-01
1.465232616308153979e+02,8.947813906568974351e-01,8.947738118492157833e-01
1.465632816408204064e+02,8.947493746469702414e-01,8.947415490755625811e-01
1.466033016508254150e+02,8.947173586369487897e-01,8.947092786255196328e-01
1.466433216608304235e+02,8.946853426268288612e-01,8.946770002724255821e-01
1.466833416708354321e+02,8.946533266166056819e-01,8.946447137833218877e-01
1.467233616808404122e+02,8.946213106062742559e-01,8.946124189187920628e-01
1.467633816908454207e+02,8.945892945958295872e-01,8.945801154327941429e-01
1.468034017008504293e+02,8.945572785852660136e-01,8.945478030724909324e-01
1.468434217108554378e+02,8.945252625745782060e-01,8.945154815780765878e-01
1.468834417208604179e+02,8.944932465637599472e-01,8.944831506825969836e-01
1.469234617308654265e+02,8.944612305528053531e-01,8.944508101117689680e-01
1.469634817408704350e+02,8.944292145417077622e-01,8.944184595837926244e-01
1.470035017508754436e+02,8.943971985304606243e-01,8.943860988091608677e-01
1.470435217608804521e+02,8.943651825190567228e-01,8.943537274904643786e-01
1.470835417708854322e+02,8.943331665074886194e-01,8.943213453221913189e-01
1.471235617808904408e+02,8.943011504957487645e-01,8.942889519905237172e-01
1.471635817908954493e+02,8.942691344838288314e-01,8.942565471731278581e-01
1.472036018009004579e+02,8.942371184717206045e-01,8.942241305389412309e-01
1.472436218109054380e+02,8.942051024594152020e-01,8.941917017479530383e-01
1.472836418209104465e+02,8.941730864469031870e-01,8.941592604509812636e-01
